,affiliation,avg_closeness,max_closeness
0,A O Pirates,0.0,0.0
1,Acumate Pirates,0.0,0.0
2,Barrels Pirates,0.18050497438521373,0.36100994877042747
3,Beast Pirates,0.495204393152565,0.4961779343456202
4,Beasts Pirates,0.27647279740896125,0.5236310267354316
5,Beautiful Pirates,0.4149304975196413,0.4866194235311706
6,Big Helmet Pirates,0.32177941222467843,0.32177941222467843
7,Big Mom Pirates,0.25491519678125335,0.7215875429223786
8,Black Cat Pirates,0.23739568666133062,0.3108373845275802
9,Blackbeard Pirates,0.2939322279599976,0.4682991035833394
10,Bliking Pirates,0.0,0.0
11,Bluejam Pirates,0.0,0.0
12,Bonney Pirates,0.5168337720018736,0.5168337720018736
13,Bourgeois Pirates,,
14,Brownbeard Pirates,0.3364913849189599,0.3364913849189599
15,Candy Pirates,0.0,0.0
16,Caribou Pirates,0.3608172596036022,0.36501798213583825
17,Cook Pirates,0.0032625277161862534,0.0032625277161862534
18,Cross Guild,0.4012215353613784,0.5347649926306637
19,Drake Pirates,0.36100994877042747,0.36100994877042747
20,Endurance Curry Pirates,,
21,Fallen Monk Pirates,0.34269172817143034,0.34269172817143034
22,Fanged Toad Pirates,,
23,Fire Tank Pirates,0.356005868322052,0.36860126607117044
24,Flying Pirates,0.0007317073170731707,0.0007317073170731707
25,Foxy Pirates,0.36386836481077706,0.4607649211314039
26,Gally Pirates,0.27841703940680385,0.27841703940680385
27,Ganzack Pirates,0.48502456153318385,0.48502456153318385
28,Germ Pirates,,
29,Giant Warrior Pirates,0.30221543183338373,0.4556559637145989
30,Golden Lion Pirates,0.48502456153318385,0.48502456153318385
31,Gyro Pirates,0.33485093841073665,0.33485093841073665
32,Hawkins Pirates,0.0,0.0
33,Heart Pirates,0.07472700748983652,0.5315444809757148
34,Hokahoka Pirates,,
35,Ideo Pirates,,
36,Kid Pirates,0.0,0.0
37,Kuja Pirates,0.4072984643789058,0.6984404946046534
38,Little Pirates,0.0,0.0
39,Macro Pirates,,
40,Maelstrom Spider Pirates,0.35485428713194234,0.35485428713194234
41,Masira Pirates,0.3156270181476267,0.3156270181476267
42,New Fish-Man Pirates,0.214152848263267,0.33485093841073665
43,New Giant Warrior Pirates,,
44,Night Butterfly Pirates,,
45,Nox Pirates,0.0,0.0
46,On Air Pirates,0.48622864146887423,0.48622864146887423
47,Peachbeard Pirates,0.32857874549016713,0.32857874549016713
48,Polo Pirates,0.0,0.0
49,Puddle Pirates,,
50,Red Hair Pirates,0.27822364241902,0.7693496877349959
51,Rolling Pirates,0.1047385770178532,0.3142157310535596
52,Roshio Pirates,0.32609621992703486,0.32609621992703486
53,Sasaki Pirates,0.49029466738225946,0.49029466738225946
54,Shoujou Pirates,0.3237780818477383,0.3237780818477383
55,Space Pirates,,
56,Straw Hat Pirates,0.5760601569808037,0.9074129483826603
57,Takotopus Pirates,0.0,0.0
58,Thriller Bark Pirates,0.014352979056429674,0.3731774554671715
59,Tontatta Pirates,,
60,Tulip Pirates,,
61,Yes Pirates,,
